,City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
0,Vaini,78.8,94,75,14.97,-21.2,-175.2
1,Khatanga,-29.72,79,0,10.65,71.9667,102.5
2,Talcahuano,62.6,82,75,6.91,-36.7167,-73.1167
3,Tasiilaq,26.6,46,0,18.41,65.6145,-37.6368
4,Sāmbhar,53.6,62,0,3.2,26.9167,75.2
5,Castro,63.61,75,0,3.09,-24.7911,-50.0119
6,Rafaela,89.01,27,0,1.01,-31.2503,-61.4867
7,Barrow,-25.6,68,1,10.36,71.2906,-156.7887
8,Atbasar,12.97,96,100,2.91,51.8,68.3333
9,Isernia,55.0,97,100,1.99,41.6002,14.2382
10,Igarka,-5.84,91,100,12.53,67.4667,86.5833
11,Punta Arenas,71.6,24,0,13.8,-53.15,-70.9167
12,Nizhniy Odes,-24.75,86,100,10.25,63.6445,54.856
13,Jamestown,15.01,67,90,14.97,42.097,-79.2353
14,East London,71.78,84,92,9.84,-33.0153,27.9116
15,Saskylakh,-36.87,79,29,12.84,71.9167,114.0833
16,Carnarvon,75.2,100,40,9.22,-24.8667,113.6333
17,Albany,28.99,66,100,1.99,42.6001,-73.9662
18,Beringovskiy,2.08,90,100,16.13,63.05,179.3167
19,Faanui,81.1,77,2,13.0,-16.4833,-151.75
20,Aden,75.42,67,0,5.44,12.7794,45.0367
21,Honningsvåg,26.6,74,75,24.16,70.9821,25.9704
22,Bluff,60.01,71,98,4.47,-46.6,168.3333
23,New Norfolk,57.0,66,50,1.01,-42.7826,147.0587
24,Kununurra,78.8,100,86,3.44,-15.7667,128.7333
25,Provideniya,-2.51,81,61,17.43,64.3833,-173.3
26,Irituia,76.41,92,7,4.59,-1.7711,-47.4381
27,Teguise,57.2,82,20,4.61,29.0605,-13.564
28,Denpasar,80.6,83,20,2.3,-8.65,115.2167
29,Guiyang,46.4,93,90,2.24,26.5833,106.7167
30,West Fargo,-7.01,64,90,9.22,46.875,-96.9004
31,Butaritari,81.28,80,93,19.15,3.0707,172.7902
32,Clyde River,-2.2,84,75,11.5,70.4692,-68.5914
33,Hobart,57.2,58,40,12.66,-42.8794,147.3294
34,Ushuaia,62.6,55,75,6.91,-54.8,-68.3
35,Hermanus,63.0,80,3,3.6,-34.4187,19.2345
36,São João da Barra,71.6,100,90,4.61,-21.6403,-41.0511
37,Murgab,48.2,76,75,2.24,37.4966,61.9714
38,Palauig,77.09,69,13,4.5,15.435,119.9045
39,Port Macquarie,75.99,71,100,1.99,-31.4333,152.9167
40,Dikson,-32.1,85,90,16.71,73.5069,80.5464
41,Falāvarjān,35.6,93,0,4.25,32.5553,51.5097
42,Hithadhoo,81.73,70,56,6.64,-0.6,73.0833
43,Belaya Gora,-27.6,84,79,3.47,68.5333,146.4167
